scenarioID [],i [],V [V],wireGauge [],turns [],radius [m],wireGauge_car [],turns_car [],radius_car [m],height [m],spacing [m],velocity [m/s],totalCharge [C],cost [$],cost/charge [$/C],,best for the money,,most overall
15367,1921,100,6,410,1,8,320,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23559,2945,100,6,410,1,8,320,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2,1,100,6,410,1,12,230,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8194,1025,100,6,410,1,12,230,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16386,2049,100,6,410,1,12,230,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4098,513,100,6,410,1,12,230,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12290,1537,100,6,410,1,12,230,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20482,2561,100,6,410,1,12,230,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1026,129,100,6,410,1,12,230,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9218,1153,100,6,410,1,12,230,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17410,2177,100,6,410,1,12,230,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5122,641,100,6,410,1,12,230,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13314,1665,100,6,410,1,12,230,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21506,2689,100,6,410,1,12,230,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2050,257,100,6,410,1,12,230,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10242,1281,100,6,410,1,12,230,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18434,2305,100,6,410,1,12,230,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6146,769,100,6,410,1,12,230,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14338,1793,100,6,410,1,12,230,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22530,2817,100,6,410,1,12,230,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3074,385,100,6,410,1,12,230,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11266,1409,100,6,410,1,12,230,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19458,2433,100,6,410,1,12,230,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7170,897,100,6,410,1,12,230,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15362,1921,100,6,410,1,12,230,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23554,2945,100,6,410,1,12,230,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
4,1,100,6,410,1,12,260,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8196,1025,100,6,410,1,12,260,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16388,2049,100,6,410,1,12,260,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4100,513,100,6,410,1,12,260,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12292,1537,100,6,410,1,12,260,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20484,2561,100,6,410,1,12,260,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1028,129,100,6,410,1,12,260,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9220,1153,100,6,410,1,12,260,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17412,2177,100,6,410,1,12,260,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
5124,641,100,6,410,1,12,260,1.7,0.3,0,30,1,1959868.306,1959868.306,,,,
13316,1665,100,6,410,1,12,260,1.7,0.3,0.18,30,1,1798044.318,1798044.318,,,,
21508,2689,100,6,410,1,12,260,1.7,0.3,0.36,30,1,1660905.344,1660905.344,,,,
2052,257,100,6,410,1,12,260,1.9,0.15,0,30,1,1959868.306,1959868.306,,,,
10244,1281,100,6,410,1,12,260,1.9,0.15,0.18,30,1,1798044.318,1798044.318,,,,
18436,2305,100,6,410,1,12,260,1.9,0.15,0.36,30,1,1660905.344,1660905.344,,,,
6148,769,100,6,410,1,12,260,1.9,0.3,0,30,1,1959868.306,1959868.306,,,,
14340,1793,100,6,410,1,12,260,1.9,0.3,0.18,30,1,1798044.318,1798044.318,,,,
22532,2817,100,6,410,1,12,260,1.9,0.3,0.36,30,1,1660905.344,1660905.344,,,,
3076,385,100,6,410,1,12,260,2.1,0.15,0,30,1,1959868.306,1959868.306,,,,
11268,1409,100,6,410,1,12,260,2.1,0.15,0.18,30,1,1798044.318,1798044.318,,,,
19460,2433,100,6,410,1,12,260,2.1,0.15,0.36,30,1,1660905.344,1660905.344,,,,
7172,897,100,6,410,1,12,260,2.1,0.3,0,30,1,1959868.306,1959868.306,,,,
15364,1921,100,6,410,1,12,260,2.1,0.3,0.18,30,1,1798044.318,1798044.318,,,,
23556,2945,100,6,410,1,12,260,2.1,0.3,0.36,30,1,1660905.344,1660905.344,,,,
6,1,100,6,410,1,12,290,1.5,0.15,0,30,1,1959868.306,1959868.306,,,,
8198,1025,100,6,410,1,12,290,1.5,0.15,0.18,30,1,1798044.318,1798044.318,,,,
16390,2049,100,6,410,1,12,290,1.5,0.15,0.36,30,1,1660905.344,1660905.344,,,,
4102,513,100,6,410,1,12,290,1.5,0.3,0,30,1,1959868.306,1959868.306,,,,
12294,1537,100,6,410,1,12,290,1.5,0.3,0.18,30,1,1798044.318,1798044.318,,,,
20486,2561,100,6,410,1,12,290,1.5,0.3,0.36,30,1,1660905.344,1660905.344,,,,
1030,129,100,6,410,1,12,290,1.7,0.15,0,30,1,1959868.306,1959868.306,,,,
9222,1153,100,6,410,1,12,290,1.7,0.15,0.18,30,1,1798044.318,1798044.318,,,,
17414,2177,100,6,410,1,12,290,1.7,0.15,0.36,30,1,1660905.344,1660905.344,,,,
