scenarioID,V,wireGauge,turns,radius,wireGauge_car,turns_car,radius_car,height,spacing,velocity,totalCharge,cost,cost/charge
[],[V],[],[],[m],[],[],[m],[m],[m],[m/s],[C],[$],[C/$]
121,600,8,460,1,8,230,1.500000e+00,1.500000e-01,0,30,8.363591e+03,3.648719e+04,4.362622e+00,
122,600,8,460,1,12,230,1.500000e+00,1.500000e-01,0,30,3.306746e+03,3.648719e+04,1.103417e+01,
123,600,8,460,1,8,260,1.500000e+00,1.500000e-01,0,30,8.367771e+03,3.648719e+04,4.360443e+00,
124,600,8,460,1,12,260,1.500000e+00,1.500000e-01,0,30,3.308398e+03,3.648719e+04,1.102866e+01,
125,600,8,460,1,8,290,1.500000e+00,1.500000e-01,0,30,8.371089e+03,3.648719e+04,4.358715e+00,
126,600,8,460,1,12,290,1.500000e+00,1.500000e-01,0,30,3.309710e+03,3.648719e+04,1.102429e+01,
127,600,8,460,1,8,320,1.500000e+00,1.500000e-01,0,30,8.373787e+03,3.648719e+04,4.357311e+00,
128,600,8,460,1,12,320,1.500000e+00,1.500000e-01,0,30,3.310777e+03,3.648719e+04,1.102073e+01,
129,100,6,510,1,8,230,1.500000e+00,1.500000e-01,0,30,2.048809e+03,1.453255e+03,7.093169e-01,
130,100,6,510,1,12,230,1.500000e+00,1.500000e-01,0,30,8.100455e+02,1.453255e+03,1.794041e+00,
131,100,6,510,1,8,260,1.500000e+00,1.500000e-01,0,30,2.049833e+03,1.453255e+03,7.089626e-01,
132,100,6,510,1,12,260,1.500000e+00,1.500000e-01,0,30,8.104503e+02,1.453255e+03,1.793145e+00,
133,100,6,510,1,8,290,1.500000e+00,1.500000e-01,0,30,2.050645e+03,1.453255e+03,7.086816e-01,
134,100,6,510,1,12,290,1.500000e+00,1.500000e-01,0,30,8.107716e+02,1.453255e+03,1.792434e+00,
135,100,6,510,1,8,320,1.500000e+00,1.500000e-01,0,30,2.051306e+03,1.453255e+03,7.084533e-01,
136,100,6,510,1,12,320,1.500000e+00,1.500000e-01,0,30,8.110329e+02,1.453255e+03,1.791857e+00,
137,250,6,510,1,8,230,1.500000e+00,1.500000e-01,0,30,5.122022e+03,9.082841e+03,1.773292e+00,
138,250,6,510,1,12,230,1.500000e+00,1.500000e-01,0,30,2.025114e+03,9.082841e+03,4.485102e+00,
139,250,6,510,1,8,260,1.500000e+00,1.500000e-01,0,30,5.124581e+03,9.082841e+03,1.772407e+00,
140,250,6,510,1,12,260,1.500000e+00,1.500000e-01,0,30,2.026126e+03,9.082841e+03,4.482862e+00,
141,250,6,510,1,8,290,1.500000e+00,1.500000e-01,0,30,5.126613e+03,9.082841e+03,1.771704e+00,
